id,title,city,country_code,elevation,longitude,latitude
1000550952,Beinwil am See: Hallwilersee Nord 1,Beinwil am See,CH,549,8.205056,47.260586
1010004899,Beinwil am See: Hallwilersee Nord 2,Beinwil am See,CH,446,8.21125,47.269445
1010222761,"Grindelwald: Männlichen, Blick zur Jungfrau",Grindelwald,CH,2222,7.942085,46.611243
1010433724,Schwyz: Mythenregion - Einsiedeln (Hotel Passhöhe Ibergeregg),Schwyz,CH,1393,8.733337,47.017286
1010434248,Engelberg: Titlis Stand 2,Engelberg,CH,2898,8.42617,46.774142
1010434642,Wolfenschiessen: Titlis Trübsee,Wolfenschiessen,CH,1764,8.398361,46.791363
1010435704,Solothurn,Solothurn,CH,450,7.536621,47.208374
1010609154,Schwyz: Mythenregion - Einsiedeln (Bergstation Brünnelistock),Schwyz,CH,1578,8.727959,47.025257
1010908662,Grindelwald: First - LIVE (2168 m.ü.M),Grindelwald,CH,2129,8.055725,46.658627
1010992123,Splugen: Tanatzhöhe Skigebiet,Splugen,CH,2139,9.314089,46.530273
1010993577,Bettmeralp: Aletsch Arena - Skipiste,Bettmeralp,CH,2493,8.07229,46.406804
1010993718,Bettmeralp: Aletsch Arena - Bettmerhorn II,Bettmeralp,CH,2566,8.073449,46.411393
1011371583,Laax: Vorab Gletscher,Laax,CH,2567,9.181223,46.873336
1011516521,Kandersteg: Hotel Bernerhof,Kandersteg,CH,1177,7.674508,46.496797
1012331371,Surses: Berghuus Radons,Surses,CH,1867,9.553298999999999,46.559569
1015075148,Kandersteg: Autoverlad Lötschberg,Kandersteg,CH,1175,7.671976,46.495911
1017053828,Nesslau: Toggenburg Alpakas 2,Nesslau,CH,841,9.225769,47.199044
1017402016,Poschiavo: Swizzera,Poschiavo,CH,2616,9.988631999999999,46.324561
1017402470,Quinto: Ambri Airport,Quinto,CH,1275,8.738078999999999,46.502646
1017402518,Locarno: Monti,Locarno,CH,496,8.782196,46.175076
1017402563,Paradiso: Lugano,Paradiso,CH,309,8.950273,45.988519
1018690405,Langenbruck: Deinkick Solarbob Seilpark,Langenbruck,CH,704,7.769297,47.345228
1022317836,"Zurich: University of Zurich - Swiss National Museum - Zürich, Zürich HB - ETH Zurich - Uetliberg",Zurich,CH,477,8.548506,47.379219
1022924078,Grindelwald: Grindelwald - Dorf - Wetterhorn,Grindelwald,CH,984,8.024826,46.619379
1027160066,Schaffhausen: Vordergasse,Schaffhausen,CH,407,8.635061,47.696361
1027160200,Koniz: Berne - Bantiger - Grauholz,Koniz,CH,566,7.429719,46.933107
1038134454,Gersau › South-East,Gersau,CH,442,8.52141,46.993624
1040549429,Alt St. Johann: Chäserrugg,Alt St. Johann,CH,2257,9.313016,47.155297
1042036855,Dittingen: Flugplatz - LSPD,Dittingen,CH,536,7.490766,47.438204
1045125010,Schwyz: Mythenregion - Einsiedeln (Talstation Handgruobi),Schwyz,CH,1064,8.711016,47.00789
1045500031,Degersheim,Degersheim,CH,883,9.183766,47.372627
1048420603,Sonnental: Niederuzwil MeteoTop,Sonnental,CH,502,9.146118,47.457809
1049027676,Aarau: Stadt,Aarau,CH,404,8.047458,47.389065
1049064406,Friedrichshafen: Wetter östl. Bodensee,Friedrichshafen,DE,410,9.466095,47.664462
1049529921,Capriasca: Lugano San Salvatore,Capriasca,CH,648,8.976967,46.069327
1050671396,Naters: Belalp Aletschbord auf den grossen Aletschgletscher,Naters,CH,2165,7.990054,46.381348
1054917524,Feldberg: Seebuck Gipfel I - Baden-W,Feldberg,DE,1438,8.022283,47.864299
1057567313,Unterschlatt: Appenzell Wetter,Unterschlatt,CH,940,9.396883,47.35672
1059054241,Beinwil am See: Hallwilersee Ost 2,Beinwil am See,CH,479,8.207989,47.267349
1059054312,Beinwil am See: Hallwilersee Ost 1,Beinwil am See,CH,456,8.212109,47.26665
1059055887,Lucerne,Lucerne,CH,447,8.315856,47.054584
1059056842,Stans: Stanserhorn Live-Bild,Stans,CH,1834,8.340307,46.929759
1060674958,Baretswil: Skilift Ghöch,Baretswil,CH,957,8.902177,47.333678
1061113069,Zweisimmen: Rinderberg Mittelstation,Zweisimmen,CH,1447,7.363476,46.525772
1061908500,Bettmeralp: Aletsch Arena - Dorf,Bettmeralp,CH,1976,8.061025,46.389644
1064226293,Sankt Kanzian am Klopeiner See: Ferienregion Klopeinersee-Turnersee in,Sankt Kanzian am Klopeiner See,AT,508,14.563193,46.588745
1068224090,Gryon: Les Chaux,Gryon,CH,1760,7.104657,46.295224
1068284763,Ollon VD: Villars-sur-Ollon,Ollon VD,CH,1807,7.074992,46.322791
1070189674,Meyrin: Aéroport,Meyrin,CH,423,6.101918,46.22575
1070821774,"Oberiberg: Laburgstrasse - Buoffenalp - Ibergeregg, Passhöhe",Oberiberg,CH,1124,8.786815,47.041209
1071248178,Laax: Murschetg,Laax,CH,1106,9.262775,46.822848
1073653447,Tschappina: Berggasthaus Beverin,Tschappina,CH,1886,9.345763,46.677497
1074337010,Meggen: mit Blick auf den See,Meggen,CH,493,8.375487,47.048575
1074337700,Schenna - Scena: Dorfzentrum,Schenna - Scena,IT,567,11.186971,46.690186
1074338828,Hafling - Avelengo: Wandergebiet Schenna - Meran 2000,Hafling - Avelengo,IT,1918,11.25515,46.677239
1074941346,"Kuttigen: Fricktal, Schwarzwald, Feldberg",Kuttigen,CH,674,8.025341,47.431455
1074941799,"Kuttigen: Staffelegg, Lägern",Kuttigen,CH,674,8.025169,47.432036
1074941913,"Kuttigen: Aarau, Pilatus, Titlis",Kuttigen,CH,737,8.024826,47.432036
1074942000,"Kuttigen: Gösgen, Schönenwerd, Mönch",Kuttigen,CH,721,8.026028,47.431107
1074942072,"Kuttigen: Olten, Bern, La Dôle",Kuttigen,CH,674,8.025169,47.431919
1075645771,Lenzerheide: Parpaner Rothorn,Lenzerheide,CH,2825,9.597502,46.74261
1075651001,Bullet: Les Petites Roches - Chasseron,Bullet,CH,1197,6.547852,46.830251
1076244529,Brunni: Alpthal,Brunni,CH,1097,8.703897,47.042361
1076513327,Ilanz: Crap Masegn (Vorab) - Crap Masegn,Ilanz,CH,2466,9.18018,46.84243
1077361484,Fluh: Leimentaler Wetterstation,Fluh,CH,410,7.496796,47.485193
1080921163,Kussnacht › South-East: Küssnacht am Rigi - Lake of Lucerne,Kussnacht,CH,448,8.443052,47.082363
1081111494,Grimentz: vieux village,Grimentz,CH,1566,7.5764569999999996,46.17992
1081149461,Anniviers: Grimentz - départ de la télécabine de Bendolla,Anniviers,CH,2663,7.595286,46.150435
1081756841,Landquart: Chimmispitz - Haldensteiner Calanda - Calandahütte SAC - Calanda,Landquart,CH,529,9.568077,46.946989
1081757307,Eriz › West: Unterlangenegg - Fahrni - Uetendorf - Schwarzenegg - Stockhorn - Riggisberg - Gurnigel Pass - Jura - Buchen,Eriz,CH,1119,7.743511,46.790783
1084173909,Thundorf: Lustdorf 360° Panorama,Thundorf,CH,600,8.987074,47.550058
1084783665,Altendorf: SZ,Altendorf,CH,697,8.803568,47.181896
1084784127,Wetzikon: GZO Spital,Wetzikon,CH,548,8.801722999999999,47.321458
1087033050,Verbier: and the Médran ski area,Verbier,CH,1797,7.223465,46.108445
1091875657,Brienz: Dorf Fischerbrunnenplatz,Brienz,CH,569,8.029,46.754663
1101718592,Moriken-Wildegg: Wetter in Möriken AG,Moriken-Wildegg,CH,389,8.179879,47.418317
1105008078,Mesocco: San Bernardino 2,Mesocco,CH,1620,9.189849,46.462812
1105962270,Torbel: Moosalp,Torbel,CH,2047,7.829733,46.250787
1107779273,"Escholzmatt-Marbach: Camping-Sternen, Marbach",Escholzmatt-Marbach,CH,824,7.9098559999999996,46.872778
1108551411,Mathon › South: Muntogna da Schons - Restaurant muntsulej,Mathon,CH,1544,9.414253,46.636001
1108986636,Rickenbach: Bauer Fritz - Lake Sempach,Rickenbach,CH,792,8.139496,47.198111
1109590185,Melchsee-Frutt,Melchsee-Frutt,CH,1916,8.269739,46.773349
1109590430,Wildhaus-Alt St. Johann: Iltios - Chäserrugg,Wildhaus-Alt St. Johann,CH,1346,9.31175,47.185235
1110195629,Albstadt: Tailfingen Skilift und Bikepark,Albstadt,DE,843,9.030876,48.254016
1110364842,Delemont,Delemont,CH,413,7.349773,47.362224
1112092027,Thun: Innenstadt - Blick auf das Schloss,Thun,CH,564,7.629922,46.757708
1112092231,Carouge › North,Carouge,CH,392,6.137753,46.182505
1113821046,Stein: Toggenburg Alpakas,Stein,CH,861,9.223709,47.196711
1115031497,Matt: Weissenberge 2,Matt,CH,1245,9.184999,46.964205
1116324674,Wohlen bei Bern › North: Ittigen,Wohlen bei Bern,CH,625,7.339833,46.993536
1116849865,Unterageri: Aegeriwetter,Unterageri,CH,735,8.584238,47.131542
1119270291,Lucerne: Kapellbrücke,Lucerne,CH,432,8.308437,47.050893
1119876438,Le Locle: UNESCO Urbanisme horloger,Le Locle,CH,924,6.741486,47.055154
1119877026,Frauenfeld: Stadt - 360° Panorama,Frauenfeld,CH,399,8.895493,47.558921
1121081685,La Brevine: Lac des Taillères,La Brevine,CH,1041,6.58622,46.971034
1121084333,La Neuveville: Lake Biel,La Neuveville,CH,441,7.092222,47.063706
1123494977,Rutteldorf: Wetterbilder Todtnauberg,Rutteldorf,DE,1060,7.949247,47.856258
1124709158,Interlaken: Schynige Platte - Jungfrau,Interlaken,CH,571,7.8617159999999995,46.684357
1125318045,Surses: Berghuus Radons,Surses,CH,1867,9.553298999999999,46.55886
1126539413,Beatenberg: Chalet Birkli,Beatenberg,CH,1188,7.79834,46.700392
1127131777,Sankt Moritz: Suvretta House,Sankt Moritz,CH,1888,9.819825,46.484535
